State,Year,Month
Rhode Island,2024,May
Rhode Island,2024,May
Rhode Island,2024,May
Rhode Island,2024,May
Rhode Island,2024,May
Rhode Island,2024,May
South Carolina,2015,April
South Carolina,2015,April
South Carolina,2015,April
South Carolina,2015,April
South Carolina,2015,April
South Carolina,2015,April
South Carolina,2015,April
South Carolina,2015,April
South Carolina,2015,April
South Carolina,2015,April
South Carolina,2015,April
South Carolina,2015,April
South Carolina,2015,August
South Carolina,2015,August
South Carolina,2015,August
South Carolina,2015,August
South Carolina,2015,August
South Carolina,2015,August
South Carolina,2015,August
South Carolina,2015,August
South Carolina,2015,August
South Carolina,2015,August
South Carolina,2015,August
South Carolina,2015,August
South Carolina,2015,December
South Carolina,2015,December
South Carolina,2015,December
South Carolina,2015,December
South Carolina,2015,December
South Carolina,2015,December
South Carolina,2015,December
South Carolina,2015,December
South Carolina,2015,December
South Carolina,2015,December
South Carolina,2015,December
South Carolina,2015,December
South Carolina,2015,February
South Carolina,2015,February
